hdb,latitude,longitude
172 BEDOK STH RD SINGAPORE,1.31789091823444,103.946338598685
415 BEDOK NTH AVE 2 SINGAPORE,1.3305534143043,103.930556186265
505 BEDOK NTH AVE 3 SINGAPORE,1.33675047903361,103.93336076202
94E BEDOK NTH AVE 4 SINGAPORE,1.33330539203383,103.940906242009
714 BEDOK RESERVOIR RD SINGAPORE,1.33703060322387,103.923284613437
607 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
26 CHAI CHEE RD SINGAPORE,1.32331161222379,103.923620464562
51 CHAI CHEE ST SINGAPORE,1.32861957588571,103.924497070108
53 CHAI CHEE ST SINGAPORE,1.32861957588571,103.924497070108
645 JLN TENAGA SINGAPORE,1.33167117872807,103.906537912581
649 JLN TENAGA SINGAPORE,1.33167117872807,103.906537912581
137 BEDOK NTH AVE 3 SINGAPORE,1.32883066193996,103.935509731277
120 BEDOK NTH ST 2 SINGAPORE,1.32997311186222,103.9375717024
118 BEDOK NTH ST 2 SINGAPORE,1.33043385999052,103.937481669683
72 BEDOK STH AVE 3 SINGAPORE,1.32234775413853,103.945858384014
20 BEDOK STH RD SINGAPORE,1.31995205858356,103.933718160998
21 BEDOK STH RD SINGAPORE,1.31789091823444,103.946338598685
60 NEW UPP CHANGI RD SINGAPORE,1.32247807692488,103.941254614647
636 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
638 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
640 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
642 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
10E BEDOK STH AVE 2 SINGAPORE,1.3216200934601,103.937040959341
10B BEDOK STH AVE 2 SINGAPORE,1.32235386630343,103.936183263112
10D BEDOK STH AVE 2 SINGAPORE,1.3217708591015,103.936326570445
114 BEDOK RESERVOIR RD SINGAPORE,1.3245226570167,103.953156830093
160 BEDOK STH AVE 3 SINGAPORE,1.32234775413853,103.945858384014
104 LENGKONG TIGA SINGAPORE,1.323653452481,103.910853623161
23 SIN MING RD SINGAPORE,1.36090189878299,103.839927980836
313 SHUNFU RD SINGAPORE,1.35147881263426,103.837185216121
304 SHUNFU RD SINGAPORE,1.35012170474224,103.837942388222
150A BISHAN ST 11 SINGAPORE,1.34455983329518,103.855737419596
115 BISHAN ST 12 SINGAPORE,1.34524700566957,103.852692218003
110 BISHAN ST 12 SINGAPORE,1.34524700566957,103.852692218003
193 BISHAN ST 13 SINGAPORE,1.35011694205963,103.849763180442
406 SIN MING AVE SINGAPORE,1.35853942882943,103.832309279131
123 BISHAN ST 12 SINGAPORE,1.34648720621029,103.850461077477
253 BISHAN ST 22 SINGAPORE,1.36224314715991,103.843102386534
254 BISHAN ST 22 SINGAPORE,1.36192324092535,103.842999164881
249 BISHAN ST 22 SINGAPORE,1.36124091092245,103.843772589725
251 BISHAN ST 22 SINGAPORE,1.36191020704912,103.844170608274
234 BISHAN ST 22 SINGAPORE,1.35837057780719,103.846091355463
235 BISHAN ST 22 SINGAPORE,1.35847822127518,103.846408011135
236 BISHAN ST 22 SINGAPORE,1.35900490923943,103.847006575058
285 BISHAN ST 22 SINGAPORE,1.35884086169807,103.843854009321
213 BISHAN ST 23 SINGAPORE,1.35717822124501,103.848152969032
215 BISHAN ST 23 SINGAPORE,1.35708728798563,103.848808695541
229 BISHAN ST 23 SINGAPORE,1.35760846214532,103.84596290671
266 BISHAN ST 24 SINGAPORE,1.35865897891792,103.842049817206
270 BISHAN ST 24 SINGAPORE,1.35696105024892,103.842165426934
278 BISHAN ST 24 SINGAPORE,1.35761490834313,103.842145079114
446 BRIGHT HILL DR SINGAPORE,1.35614740429897,103.832204266052
451 SIN MING AVE SINGAPORE,1.35851090906303,103.830066980252
454 SIN MING AVE SINGAPORE,1.35910250034016,103.830578346914
308 SHUNFU RD SINGAPORE,1.35058252902296,103.837846846026
149 BISHAN ST 11 SINGAPORE,1.34427940850465,103.855555665099
122 BISHAN ST 12 SINGAPORE,1.34681988418358,103.850614135416
130 BISHAN ST 12 SINGAPORE,1.34590888814549,103.851015987254
126 BISHAN ST 12 SINGAPORE,1.34627451305877,103.852083743726
191 BISHAN ST 13 SINGAPORE,1.35054161207715,103.851371061032
195 BISHAN ST 13 SINGAPORE,1.35011694205963,103.849763180442
407 SIN MING AVE SINGAPORE,1.35853942882943,103.832309279131
124 BISHAN ST 12 SINGAPORE,1.34647605091488,103.85127373178
168 BISHAN ST 13 SINGAPORE,1.3473187037658,103.854162127782
183 BISHAN ST 13 SINGAPORE,1.35045853468041,103.852476179728
190 BISHAN ST 13 SINGAPORE,1.35055492734245,103.852044535915
166 BISHAN ST 13 SINGAPORE,1.34886345078255,103.855225779214
153 BISHAN ST 13 SINGAPORE,1.34608595890118,103.855078297214
155 BISHAN ST 13 SINGAPORE,1.3462270923831,103.85590556522
221 BISHAN ST 23 SINGAPORE,1.35784120462222,103.848940368039
223 BISHAN ST 23 SINGAPORE,1.35844205362798,103.848263884941
310 SHUNFU RD SINGAPORE,1.35085167873462,103.838679123356
227 BISHAN ST 23 SINGAPORE,1.35807054684995,103.847138116766
187 BISHAN ST 13 SINGAPORE,1.34955094936358,103.851544031278
245 BISHAN ST 22 SINGAPORE,1.36033727387085,103.843963448891
401 SIN MING AVE SINGAPORE,1.35853942882943,103.832309279131
444 SIN MING AVE SINGAPORE,1.35853942882943,103.832309279131
148 BISHAN ST 11 SINGAPORE,1.3442336080746,103.854763632034
534 BT BATOK ST 51 SINGAPORE,1.35590698154634,103.750411621456
504 BT BATOK ST 52 SINGAPORE,1.34971948024642,103.750968656542
505 BT BATOK ST 52 SINGAPORE,1.34971948024642,103.750968656542
506 BT BATOK ST 52 SINGAPORE,1.34971948024642,103.750968656542
507 BT BATOK ST 52 SINGAPORE,1.34971948024642,103.750968656542
160 BT BATOK ST 11 SINGAPORE,1.34888490439686,103.742035794953
164 BT BATOK ST 11 SINGAPORE,1.34771697477219,103.742831711054
